id,title,duration,markers,points,tags,overlaps,short,long,exact_dupes,penalty
486,Athenea Rose in 7on1 DAP Gangbang,3957.23,12,0,5,0,0,0,0,0
487,Athenea Rose in Airtight 6on1 Destruction,3391.51,16,0,3,0,0,0,0,0
488,Athenea Rose in Brutal 5on1 DAP and Piss Challenge,3491.85,11,0,3,0,0,0,0,0
489,Athenea Rose in Hardcore 7on1 with Swallow Finish,5211.6,22,0,5,0,0,0,0,0
490,Athenea Rose in Hardcore BBC Gangbang and Pee Action,4281.95,14,0,5,0,0,0,0,0
491,Athenea Rose in Hardcore Interracial DAP,3057.12,2,0,1,0,0,0,0,0
492,Athenea Rose in Hecho en Medelln,3900.67,6,0,3,0,0,0,0,0
493,Athenea Rose in Intense Anal Destruction,1839.23,2,0,1,0,0,0,0,0
494,Athenea Rose in Loves Public Anal,2607.95,2,0,1,0,0,0,0,0
495,Athenea Rose in Mike Zander’s Brutal Casting,1953.07,1,0,1,0,0,0,0,0
496,Athenea Rose in Playing with 3 BBC,2441.44,5,0,1,0,0,0,0,0
497,Athenea Rose in PremiumBukkake #1,1263.3,5,0,2,0,0,1,0,1
498,Athenea Rose in PremiumBukkake #2,1064.0,2,0,2,0,0,2,0,2
499,Athenea Rose in PremiumBukkake #3,2329.59,4,0,2,0,0,1,0,1
500,Athenea Rose in Sex Crazed Slut 4on1,2765.94,8,0,4,0,0,0,0,0
501,Athenea Rose in Waka Waka Blacks Are Coming Goes Wet,3828.96,15,0,5,0,0,0,0,0
502,"Athenea Rose, Natasha Teen in Hot Sexy Colombiana in Fishnet BBC Fantasies Outdoors",3745.63,3,0,1,0,0,0,0,0
503,"Athenea Rose, Vivian Lola in Swallowed and Stuffed",4161.3,10,0,3,0,0,0,0,0
504,Aubrey Black in GangBang Creampie 225,1779.39,8,0,3,0,0,0,0,0
505,"Avery Jane in 7on1, Pee Drink, Cum Mouth, Swallow",4394.87,12,0,4,0,0,0,0,0
506,Avery Jane in Brutal 7on1 DAP Birthday,3513.58,10,0,5,0,0,0,0,0
507,Avery Jane in Milking Mike Adriano,2301.68,4,0,3,0,0,0,0,0
508,Avery Jane in Piss Soaked Backdoor Debut,4138.75,16,0,5,0,0,0,0,0
509,Avi Love in GangBang Creampie 216,2673.71,11,0,4,0,0,0,0,0
511,Baby Gemini in All About The Booty,1607.66,1,0,1,0,0,0,0,0
512,Baby Gemini in Sexy Ebony Gonna Make You Hard,2648.0,10,0,3,0,0,1,0,1
513,"Bambi Bella, Blanche Bradburry in Blonde Sluts Anal Fucking",3220.68,6,0,2,0,0,0,0,0
514,Barbie Esm in Rough 4on1 DAP Fantasy,3077.02,12,0,3,0,0,0,0,0
515,Barbie Sins in Barbie Gets wet with 2 BBC,2173.76,6,0,2,0,0,0,0,0
517,"Barbie Sins in DAP, Piss and Power Play",3215.13,8,0,3,0,0,0,0,0
518,Barbie Sins in No Holes Barred Gonzo Assault,3180.83,14,0,4,0,0,0,0,0
519,Barbie Sins in Rough DAP & Swallow Madness,2896.44,12,0,4,0,0,0,0,0
520,"Barbie Sins, Jasmine Jae in Destroyed on Valentines",1603.11,4,0,2,0,0,0,0,0
574,"Cherry Kiss, Lana Roy, Polly Pons in DP Poolside Gangbang",3022.73,9,0,1,0,0,0,0,0
873,"Nicky Sweetheart, Tekohas in Tekohas and Nicki Gangbanged",2763.36,12,0,2,0,0,0,0,0
931,"Sarai Minx, Savanah Storm in Messy Manicure Threesome",1798.08,6,0,2,0,0,0,0,0
1008,"Sai Tai Tiger, Salma De Nora in Die Haremswächterin des Öl Scheichs Sc4",1003.34,3,0,1,0,0,0,0,0
1020,,2733.12,8,0,1,0,0,0,0,0
1023,Sai Tai Tiger in Die Haremswächterin die Verbannung Sc3,568.01,1,0,1,0,0,0,0,0
1025,"Ania Kinski, Anissa Kate in DP Workout Madness",1826.8,7,0,2,0,0,0,0,0
1030,Sai Tai Tiger in Die Haremswächterin die Verbannung Sc2,973.26,4,0,1,0,0,0,0,0
1032,"Elisa Sanches, Monica Santhiago in Outdoor Threesome",2183.45,6,0,1,0,0,0,0,0
1038,Alina Li in Asian Fuck Faces 3 Sc6,1208.25,2,0,2,0,0,2,0,2
1043,"Anni Star, CJ Miles in Glamorous Double Penetration",1859.5,4,0,2,0,0,0,0,0
1044,"Ania Kinski, Anissa Kate in Real Estate Gets Real Dirty",1707.04,4,0,2,0,0,1,0,1
1047,Ania Kinski in Home Alone Double Penetration,2581.06,10,0,3,0,0,0,0,0
1053,"Anissa Kate, Lia Lin in Kinky Babetreats her Girlfriend to a DP Gangbang",2046.91,7,0,3,0,0,0,0,0
1062,Six Bodies In Motion,4574.0,8,0,2,0,0,0,0,0
1063,,1618.58,5,0,2,0,0,0,0,0
1065,,2630.13,8,0,4,0,0,0,0,0
1068,,1027.87,5,0,3,0,0,0,0,0
